observer,hotel,hole,holeSize,shape
Chris Jolly and Alana de Laive,25JBDBH07,a,6,round
Chris Jolly and Alana de Laive,25JBDBH07,b,8,round
Chris Jolly and Alana de Laive,25JBDBH07,c,6,round
Chris Jolly and Alana de Laive,25JBDBH07,d,8,round
Chris Jolly and Alana de Laive,25JBDBH07,e,6,round
Chris Jolly and Alana de Laive,25JBDBH07,f,8,round
Chris Jolly and Alana de Laive,25JBDBH07,g,6,round
Chris Jolly and Alana de Laive,25JBDBH07,h,8,round
Chris Jolly and Alana de Laive,25JBDBH07,i,6,round
Chris Jolly and Alana de Laive,25JBDBH07,j,8,round
Chris Jolly and Alana de Laive,25JBDBH07,k,6,round
Chris Jolly and Alana de Laive,25JBDBH17,a,6,round
Chris Jolly and Alana de Laive,25JBDBH17,b,8,round
Chris Jolly and Alana de Laive,25JBDBH17,c,6,round
Chris Jolly and Alana de Laive,25JBDBH17,d,8,round
Chris Jolly and Alana de Laive,25JBDBH17,e,6,round
Chris Jolly and Alana de Laive,25JBDBH17,f,8,round
Chris Jolly and Alana de Laive,25JBDBH17,g,6,round
Chris Jolly and Alana de Laive,25JBDBH17,h,8,round
Chris Jolly and Alana de Laive,25JBDBH17,i,6,round
Chris Jolly and Alana de Laive,25JBDBH17,j,8,round
Chris Jolly and Alana de Laive,25JBDBH17,k,6,round
David Rentz,25JBDBH06,a,6,round
David Rentz,25JBDBH06,b,8,round
David Rentz,25JBDBH06,c,6,round
David Rentz,25JBDBH06,d,8,round
David Rentz,25JBDBH06,e,6,round
David Rentz,25JBDBH06,f,8,round
David Rentz,25JBDBH06,g,6,round
David Rentz,25JBDBH06,h,8,round
David Rentz,25JBDBH06,i,6,round
David Rentz,25JBDBH06,j,8,round
David Rentz,25JBDBH06,k,6,round
David Rentz,25JBDBH18,a,6,round
David Rentz,25JBDBH18,b,8,round
David Rentz,25JBDBH18,c,6,round
David Rentz,25JBDBH18,d,8,round
David Rentz,25JBDBH18,e,6,round
David Rentz,25JBDBH18,f,8,round
David Rentz,25JBDBH18,g,6,round
David Rentz,25JBDBH18,h,8,round
David Rentz,25JBDBH18,i,6,round
David Rentz,25JBDBH18,j,8,round
David Rentz,25JBDBH18,k,6,round
Elisabeth Williamson,25EMWBH1,a,6,round
Elisabeth Williamson,25JBDBH13,a,6,round
Elisabeth Williamson,25JBDBH13,b,8,round
Elisabeth Williamson,25JBDBH13,c,6,round
Elisabeth Williamson,25JBDBH13,d,8,round
Elisabeth Williamson,25JBDBH13,e,6,round
Elisabeth Williamson,25JBDBH13,f,8,round
Elisabeth Williamson,25JBDBH13,g,6,round
Elisabeth Williamson,25JBDBH13,h,8,round
Elisabeth Williamson,25JBDBH13,i,6,round
Elisabeth Williamson,25JBDBH13,j,8,round
Elisabeth Williamson,25JBDBH13,k,6,round
Gary Taylor,25JBDBH12,a,6,round
Gary Taylor,25JBDBH12,b,8,round
Gary Taylor,25JBDBH12,c,6,round
Gary Taylor,25JBDBH12,d,8,round
Gary Taylor,25JBDBH12,e,6,round
Gary Taylor,25JBDBH12,f,8,round
Gary Taylor,25JBDBH12,g,6,round
Gary Taylor,25JBDBH12,h,8,round
Gary Taylor,25JBDBH12,i,6,round
Gary Taylor,25JBDBH12,j,8,round
Gary Taylor,25JBDBH12,k,6,round
Gary Taylor,25JBDBH16,a,6,round
Gary Taylor,25JBDBH16,b,8,round
Gary Taylor,25JBDBH16,c,6,round
Gary Taylor,25JBDBH16,d,8,round
Gary Taylor,25JBDBH16,e,6,round
Gary Taylor,25JBDBH16,f,8,round
Gary Taylor,25JBDBH16,g,6,round
Gary Taylor,25JBDBH16,h,8,round
Gary Taylor,25JBDBH16,i,6,round
Gary Taylor,25JBDBH16,j,8,round
Gary Taylor,25JBDBH16,k,6,round
James Dorey,25JBDBH10,a,6,round
James Dorey,25JBDBH10,b,8,round
James Dorey,25JBDBH10,c,6,round
James Dorey,25JBDBH10,d,8,round
James Dorey,25JBDBH10,e,6,round
James Dorey,25JBDBH10,f,8,round
James Dorey,25JBDBH10,g,6,round
James Dorey,25JBDBH10,h,8,round
James Dorey,25JBDBH10,i,6,round
James Dorey,25JBDBH10,j,8,round
James Dorey,25JBDBH10,k,6,round
Jenny Thyne,25JBDBH11,a,6,round
Jenny Thyne,25JBDBH11,b,8,round
Jenny Thyne,25JBDBH11,c,6,round
Jenny Thyne,25JBDBH11,d,8,round
Jenny Thyne,25JBDBH11,e,6,round
Jenny Thyne,25JBDBH11,f,8,round
Jenny Thyne,25JBDBH11,g,6,round
Jenny Thyne,25JBDBH11,h,8,round
Jenny Thyne,25JBDBH11,i,6,round
Jenny Thyne,25JBDBH11,j,8,round
Jenny Thyne,25JBDBH11,k,6,round
Jenny Thyne,25JBDBH04,a,6,round
Jenny Thyne,25JBDBH04,b,8,round
Jenny Thyne,25JBDBH04,c,6,round
Jenny Thyne,25JBDBH04,d,8,round
Jenny Thyne,25JBDBH04,e,6,round
Jenny Thyne,25JBDBH04,f,8,round
Jenny Thyne,25JBDBH04,g,6,round
Jenny Thyne,25JBDBH04,h,8,round
Jenny Thyne,25JBDBH04,i,6,round
Jenny Thyne,25JBDBH04,j,8,round
Jenny Thyne,25JBDBH04,k,6,round
Kit Prendergast,25JBDBH14,a,6,round
Kit Prendergast,25JBDBH14,b,8,round
Kit Prendergast,25JBDBH14,c,6,round
Kit Prendergast,25JBDBH14,d,8,round
